No errors
No warnings
91 ms
data source=metars
4980 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KQFV 031940Z AUTO 11001KT 8000 FEW028 M02/M03 A3032 RMK A02 TSNO,KQFV,2024-02-03T19:40:00Z,-99.99,-99.99,-2,-3,110,1,,4.97,30.32,,,TRUE,TRUE,,,TRUE,,,,FEW,2800,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQFU 031940Z AUTO 02002KT 9000 FEW032 BKN047 M00/M02 A3035 RMK A02 TSNO,KQFU,2024-02-03T19:40:00Z,-99.99,-99.99,0,-2,20,2,,5.59,30.35,,,TRUE,TRUE,,,TRUE,,,,FEW,3200,BKN,4700,,,,,VFR,,,,,,,,,,,,METAR,9999
KQFT 031940Z AUTO 03001KT 4800 OVC043 02/02 A3030 RMK A02 TSNO,KQFT,2024-02-03T19:40:00Z,-99.99,-99.99,2,2,30,1,,2.98,30.30,,,TRUE,TRUE,,,TRUE,,,,OVC,4300,,,,,,,IFR,,,,,,,,,,,,METAR,9999
KQFB 031940Z AUTO 25003KT 9999 OVC013 04/03 A3034 RMK A02 TSNO,KQFB,2024-02-03T19:40:00Z,-99.99,-99.99,4,3,250,3,,6+,30.34,,,TRUE,TRUE,,,TRUE,,,,OVC,1300,,,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQEX 031940Z AUTO 02001KT 9999 FEW009 OVC028 04/03 A3023 RMK A02 TSNO,KQEX,2024-02-03T19:40:00Z,-99.99,-99.99,4,3,20,1,,6+,30.23,,,TRUE,TRUE,,,TRUE,,,,FEW,900,OVC,2800,,,,,MVFR,,,,,,,,,,,,METAR,9999
KQEW 031940Z AUTO 34001KT 4800 FEW004 OVC026 03/03 A3030 RMK A02 TSNO,KQEW,2024-02-03T19:40:00Z,-99.99,-99.99,3,3,340,1,,2.98,30.30,,,TRUE,TRUE,,,TRUE,,,,FEW,400,OVC,2600,,,,,IFR,,,,,,,,,,,,METAR,9999
KQEV 031940Z AUTO 28001KT 1200 BR FEW006 BKN021 01/01 A3027 RMK A02 TSNO,KQEV,2024-02-03T19:40:00Z,-99.99,-99.99,1,1,280,1,,0.75,30.27,,,TRUE,TRUE,,,TRUE,,,BR,FEW,600,BKN,2100,,,,,LIFR,,,,,,,,,,,,METAR,9999
KQEQ 031940Z AUTO 04004KT 9999 BKN041 00/M03 A3035 RMK A02 TSNO,KQEQ,2024-02-03T19:40:00Z,-99.99,-99.99,0,-3,40,4,,6+,30.35,,,TRUE,TRUE,,,TRUE,,,,BKN,4100,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQEP 031940Z AUTO 00000KT 3200 BR OVC049 02/02 A3033 RMK A02 TSNO,KQEP,2024-02-03T19:40:00Z,-99.99,-99.99,2,2,0,0,,1.99,30.33,,,TRUE,TRUE,,,TRUE,,,BR,OVC,4900,,,,,,,IFR,,,,,,,,,,,,METAR,9999
KQEN 031940Z AUTO 00000KT 3200 BR OVC022 M03/M03 A3021 RMK A02 TSNO,KQEN,2024-02-03T19:40:00Z,-99.99,-99.99,-3,-3,0,0,,1.99,30.21,,,TRUE,TRUE,,,TRUE,,,BR,OVC,2200,,,,,,,IFR,,,,,,,,,,,,METAR,9999
KQEJ 031940Z AUTO 00000KT 9999 BKN034 M01/M03 A3028 RMK A02 TSNO,KQEJ,2024-02-03T19:40:00Z,-99.99,-99.99,-1,-3,0,0,,6+,30.28,,,TRUE,TRUE,,,TRUE,,,,BKN,3400,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KQEI 031940Z AUTO 33001KT 9999 BKN032 00/M02 A3030 RMK A02 TSNO,KQEI,2024-02-03T19:40:00Z,-99.99,-99.99,0,-2,330,1,,6+,30.30,,,TRUE,TRUE,,,TRUE,,,,BKN,3200,,,,,,,VFR,,,,,,,,,,,,METAR,9999
KMBG 031940Z AUTO 11011KT 2SM BR OVC003 02/01 A2979 RMK AO2 T00220011,KMBG,2024-02-03T19:40:00Z,45.543,-100.404,2.2,1.1,110,11,,2,29.79,,,TRUE,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,515
KM08 031940Z AUTO 12010G16KT 10SM CLR 22/07 A2979 RMK A01,KM08,2024-02-03T19:40:00Z,35.2155,-89.0449,22,7,120,10,16,10+,29.79,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,149
KLXV 031940Z AUTO 31009KT 3/4SM -SN BR VV014 M05/M07 A2954 RMK AO2 P0002 T10501072,KLXV,2024-02-03T19:40:00Z,39.228,-106.316,-5,-7.2,310,9,,0.75,29.54,,,TRUE,TRUE,,,,,,-SN BR,OVX,0,,,,,,,LIFR,,,,,,0.02,,,,,1400,SPECI,3027
KHYS 031940Z AUTO 15016KT 10SM BKN011 OVC020 11/09 A2956 RMK AO2,KHYS,2024-02-03T19:40:00Z,38.8392,-99.2742,11,9,150,16,,10+,29.56,,,TRUE,TRUE,,,,,,,BKN,1100,OVC,2000,,,,,MVFR,,,,,,,,,,,,SPECI,607
KGUR 031940Z AUTO 07008KT 3SM -RA BR BKN007 OVC013 04/03 A2957 RMK AO2 CIG 007V013 BKN V SCT SLP044,KGUR,2024-02-03T19:40:00Z,42.261,-104.732,4,3,70,8,,3,29.57,1004.4,,TRUE,TRUE,,,,,,-RA BR,BKN,700,OVC,1300,,,,,IFR,,,,,,,,,,,,SPECI,1341
KEMP 031940Z AUTO 10008KT 2SM BR FEW010 FEW017 OVC024 12/10 A2964 RMK AO2 T01170100,KEMP,2024-02-03T19:40:00Z,38.3291,-96.1945,11.7,10,100,8,,2,29.64,,,TRUE,TRUE,,,,,,BR,FEW,1000,FEW,1700,OVC,2400,,,IFR,,,,,,,,,,,,SPECI,366
KBYI 031940Z AUTO 26016G25KT 10SM BKN029 OVC036 04/M02 A2982 RMK AO2 PK WND 27028/1857 T00391017,KBYI,2024-02-03T19:40:00Z,42.5452,-113.769,3.9,-1.7,260,16,25,10+,29.82,,,TRUE,TRUE,,,,,,,BKN,2900,OVC,3600,,,,,MVFR,,,,,,,,,,,,SPECI,1263
KANR 031940Z AUTO 16038KT 10SM SCT110 22/20 A2962 RMK A01,KANR,2024-02-03T19:40:00Z,27.2264,-91.19,22,20,160,38,,10+,29.62,,,TRUE,TRUE,,,,,,,SCT,11000,,,,,,,VFR,,,,,,,,,,,,METAR,92
ETEB 031940Z AUTO 25013KT 9999 OVC009 07/05 A3030 RMK AO2 SLP285 $,ETEB,2024-02-03T19:40:00Z,49.308,10.639,7,5,250,13,,6+,30.30,1028.5,,TRUE,TRUE,TRUE,,,,,,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,466
CYSF 031940Z AUTO 26012KT 5SM BR BKN006 OVC009 M03/M03 A2976 RMK SLP098,CYSF,2024-02-03T19:40:00Z,59.252,-105.837,-3,-3,260,12,,5,29.76,1009.8,,TRUE,,,,,,,BR,BKN,600,OVC,900,,,,,IFR,,,,,,,,,,,,SPECI,238
CYPW 031940Z 28005KT 10SM -DZ BKN003 BKN008 OVC010 05/05 A3006 RMK ST5SC2SC1 VIS N-E 2 1/2 LO CLD BR SLP187,CYPW,2024-02-03T19:40:00Z,49.835,-124.499,5,5,280,5,,10+,30.06,1018.7,,,,,,,,,-DZ,BKN,300,BKN,800,OVC,1000,,,LIFR,,,,,,,,,,,,SPECI,122
BIRK 031940Z 17011KT 1000 -SHGS SCT010CB OVC023 M03/M04 Q0988,BIRK,2024-02-03T19:40:00Z,64.129,-21.941,-3,-4,170,11,,0.62,29.17,,,,,,,,,,-SHGS,SCT,1000,OVC,2300,,,,,LIFR,,,,,,,,,,,,SPECI,12
UACC 031939Z 22010MPS 3000 SN DRSN BKN008 OVC023 M05/M07 Q1010 NOSIG RMK QFE727/0969,UACC,2024-02-03T19:39:00Z,51.024,71.468,-5,-7,220,19,,1.86,29.82,,,,,,TRUE,,,,SN DRSN,BKN,800,OVC,2300,,,,,IFR,,,,,,,,,,,,SPECI,354
KPTN 031939Z AUTO 09014G20KT 5SM TSRA BR OVC006 15/15 A2957 RMK AO2 LTG DSNT N-SE TSE01B19E34B39 PRESFR PNO $,KPTN,2024-02-03T19:39:00Z,29.71,-91.3381,15,15,90,14,20,5,29.57,,,TRUE,TRUE,TRUE,,,,,TSRA BR,OVC,600,,,,,,,IFR,,,,,,,,,,,,SPECI,2
KMFI 031939Z AUTO 10003KT 9SM OVC010 01/M03 A3007 RMK AO2 T00061028,KMFI,2024-02-03T19:39:00Z,44.6379,-90.1875,0.6,-2.8,100,3,,9,30.07,,,TRUE,TRUE,,,,,,,OVC,1000,,,,,,,MVFR,,,,,,,,,,,,SPECI,383
KEEO 031939Z AUTO 23006KT 5SM -SN BR FEW027 OVC037 M01/M02 A2968 RMK AO2 P0001 T10061017,KEEO,2024-02-03T19:39:00Z,40.0444,-107.888,-0.6,-1.7,230,6,,5,29.68,,,TRUE,TRUE,,,,,,-SN BR,FEW,2700,OVC,3700,,,,,MVFR,,,,,,0.01,,,,,,SPECI,1957
KDEQ 031939Z AUTO 11007KT 10SM SCT017 BKN023 OVC038 13/11 A2964 RMK AO2 T01330111,KDEQ,2024-02-03T19:39:00Z,34.048,-94.4016,13.3,11.1,110,7,,10+,29.64,,,TRUE,TRUE,,,,,,,SCT,1700,BKN,2300,OVC,3800,,,MVFR,,,,,,,,,,,,SPECI,107
KCUT 031939Z AUTO 07005KT 3SM RA BR SCT006 OVC014 03/02 A2964 RMK AO2 P0009 T00280017,KCUT,2024-02-03T19:39:00Z,43.7331,-103.615,2.8,1.7,70,5,,3,29.64,,,TRUE,TRUE,,,,,,RA BR,SCT,600,OVC,1400,,,,,MVFR,,,,,,0.09,,,,,,SPECI,1700
K2V6 031939Z AUTO 10012G16KT 10SM BKN009 BKN018 BKN038 07/06 A2951 RMK AO2,K2V6,2024-02-03T19:39:00Z,40.1047,-102.713,7,6,100,12,16,10+,29.51,,,TRUE,TRUE,,,,,,,BKN,900,BKN,1800,BKN,3800,,,IFR,,,,,,,,,,,,METAR,1257
CZPC 031939Z AUTO 36004KT 320V040 9SM RA BKN009 OVC020 03/02 A2981 RMK PCPN 1.0MM PAST HR SLP126,CZPC,2024-02-03T19:39:00Z,49.522,-114.005,3,2,360,4,,9,29.81,1012.6,,TRUE,,,,,,,RA,BKN,900,OVC,2000,,,,,IFR,,,,,,,,,,,,SPECI,1187
CYBW 031939Z AUTO 34012G19KT 9SM -RA -UP BKN011 BKN016 OVC024 01/00 A2986 RMK PCPN 0.5MM PAST HR ICE MISG SLP155,CYBW,2024-02-03T19:39:00Z,51.108,-114.382,1,0,340,12,19,9,29.86,1015.5,,TRUE,,,,,,,-RA UP,BKN,1100,BKN,1600,OVC,2400,,,MVFR,,,,,,,,,,,,SPECI,1197
PAVC 031938Z AUTO 24009G22KT 200V270 6SM BR OVC012 05/04 A2941 RMK AO2 PK WND 19027/1914,PAVC,2024-02-03T19:38:00Z,55.115,-162.271,5,4,240,9,22,6,29.41,,,TRUE,TRUE,,,,,,BR,OVC,1200,,,,,,,MVFR,,,,,,,,,,,,SPECI,48
PAOO 031938Z AUTO 04032G38KT M1/4SM +SN FZFG FEW003 OVC012 M16/M18 A2952 RMK AO2 PK WND 03039/1922 P0000 FZRANO TSNO $,PAOO,2024-02-03T19:38:00Z,60.537,-165.089,-16,-18,40,32,38,0.25,29.52,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,+SN FZFG,FEW,300,OVC,1200,,,,,LIFR,,,,,,0.005,,,,,,SPECI,15
PAMB 031938Z AUTO 04022G26KT 1/4SM SN FZFG M17/M18 A2969 RMK AO2 PK WND 04030/1920 P0000 FZRANO $,PAMB,2024-02-03T19:38:00Z,58.986,-159.05,-17,-18,40,22,26,0.25,29.69,,,TRUE,TRUE,TRUE,,,TRUE,,SN FZFG,,,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,28
KRBD 031938Z 18011G16KT 10SM SCT020 17/12 A2955 RMK AO2 T01670122,KRBD,2024-02-03T19:38:00Z,32.6782,-96.8677,16.7,12.2,180,11,16,10+,29.55,,,,TRUE,,,,,,,SCT,2000,,,,,,,VFR,,,,,,,,,,,,SPECI,200
KMYL 031938Z AUTO 28008KT 2 1/2SM -SN BR FEW005 BKN021 OVC060 00/M01 A2978 RMK AO2 SNB32 P0000 T00001006,KMYL,2024-02-03T19:38:00Z,44.8943,-116.1,0,-0.6,280,8,,2.5,29.78,,,TRUE,TRUE,,,,,,-SN BR,FEW,500,BKN,2100,OVC,6000,,,IFR,,,,,,0.005,,,,,,SPECI,1532
KMHE 031938Z AUTO 11014KT 2 1/2SM BR OVC002 02/01 A2984 RMK AO2 T00220011,KMHE,2024-02-03T19:38:00Z,43.7743,-98.0384,2.2,1.1,110,14,,2.5,29.84,,,TRUE,TRUE,,,,,,BR,OVC,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,397
KFNB 031938Z AUTO 10010KT 5SM BR SCT011 OVC050 08/06 A2974 RMK AO2 RAB1859E17 P0000 T00830061,KFNB,2024-02-03T19:38:00Z,40.0791,-95.5893,8.3,6.1,100,10,,5,29.74,,,TRUE,TRUE,,,,,,BR,SCT,1100,OVC,5000,,,,,MVFR,,,,,,0.005,,,,,,SPECI,301
KEGE 031938Z 25004KT 6SM SN OVC025 02/M01 A2964 RMK AO2 SNB06 P0006,KEGE,2024-02-03T19:38:00Z,39.6448,-106.918,2,-1,250,4,,6,29.64,,,,TRUE,,,,,,SN,OVC,2500,,,,,,,MVFR,,,,,,0.06,,,,,,SPECI,1993
KDLN 031938Z AUTO 21007KT 2 1/2SM -SN BR BKN002 OVC029 00/00 A2971 RMK AO2 P0000 T00000000,KDLN,2024-02-03T19:38:00Z,45.2584,-112.555,0,0,210,7,,2.5,29.71,,,TRUE,TRUE,,,,,,-SN BR,BKN,200,OVC,2900,,,,,LIFR,,,,,,0.005,,,,,,SPECI,1586
KBKB 031938Z AUTO 00000KT 3SM -RA BR OVC004 12/12 A2960 RMK AO2 P0014 T01220117,KBKB,2024-02-03T19:38:00Z,31.022,-92.911,12.2,11.7,0,0,,3,29.60,,,TRUE,TRUE,,,,,,-RA BR,OVC,400,,,,,,,LIFR,,,,,,0.14,,,,,,SPECI,74
KAKO 031938Z AUTO 11014G22KT 10SM BKN007 OVC013 07/07 A2949 RMK AO2 T00720067,KAKO,2024-02-03T19:38:00Z,40.1743,-103.215,7.2,6.7,110,14,22,10+,29.49,,,TRUE,TRUE,,,,,,,BKN,700,OVC,1300,,,,,IFR,,,,,,,,,,,,SPECI,1431
K1ON 031938Z AUTO 17009KT M M M 04/04 M RMK AO2 DZE21 SLPNO RVRNO $,K1ON,2024-02-03T19:38:00Z,48.82,-101.28,4,4,170,9,,,0.00,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,VFR,,,,,,,,,,,,SPECI,466
K1KN 031938Z AUTO 19013KT M -RA M 03/03 A2977 RMK AO2 RAB38 SLP105 RVRNO $,K1KN,2024-02-03T19:38:00Z,48.55,-102.12,3,3,190,13,,,29.77,1010.5,,TRUE,TRUE,TRUE,,,,,-RA,,,,,,,,,VFR,,,,,,,,,,,,SPECI,693
EHVL 031938Z AUTO 25013KT 8000 BR SCT026 BKN030 BKN035 07/06 Q1022 BLU,EHVL,2024-02-03T19:38:00Z,53.297,5.086,7,6,250,13,,4.97,30.18,,,TRUE,,,,,,,BR,SCT,2600,BKN,3000,BKN,3500,,,MVFR,,,,,,,,,,,,SPECI,2
CYWG 031938Z 19011G18KT 6SM BR BKN005 OVC012 01/01 A2994 RMK SF6SC2 SLP153,CYWG,2024-02-03T19:38:00Z,49.916,-97.249,1,1,190,11,18,6,29.94,1015.3,,,,,,,,,BR,BKN,500,OVC,1200,,,,,IFR,,,,,,,,,,,,SPECI,238
CYLL 031938Z 34012G20KT 12SM BKN006 BKN095 OVC270 M00/M00 A2976 RMK SC5AC2CI1 SLP114,CYLL,2024-02-03T19:38:00Z,53.312,-110.074,0,0,340,12,20,12,29.76,1011.4,,,,,,,,,,BKN,600,BKN,9500,OVC,27000,,,IFR,,,,,,,,,,,,SPECI,664
CWEU 031938Z 12020KT 15SM IC DRSN BKN060 OVC120 M26/M30 A3004 RMK SC6AC2 SLP192,CWEU,2024-02-03T19:38:00Z,79.989,-85.934,-26,-30,120,20,,15,30.04,1019.2,,,,,,,,,IC DRSN,BKN,6000,OVC,12000,,,,,VFR,,,,,,,,,,,,SPECI,2
RJTY 031937Z AUTO 00000KT 10SM -RA CLR 03/M02 A3024 RMK AO2 RAB37 SLP247 $,RJTY,2024-02-03T19:37:00Z,35.749,139.349,3,-2,0,0,,10+,30.24,1024.7,,TRUE,TRUE,TRUE,,,,,-RA,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,136
PANN 031937Z AUTO 00000KT 1 3/4SM BR FEW002 M44/ A3020 RMK AO2 T1444 TSNO $,PANN,2024-02-03T19:37:00Z,64.547,-149.087,-44.4,,0,0,,1.75,30.20,,,TRUE,TRUE,TRUE,,TRUE,,,BR,FEW,200,,,,,,,IFR,,,,,,,,,,,,SPECI,110
PADK 031937Z AUTO 25030G37KT 3SM -RA BR BKN011 OVC016 02/01 A2910 RMK AO2 PK WND 25037/1936 UPB04E11RAB11 PRESRR P0001 FZRANO $,PADK,2024-02-03T19:37:00Z,51.881,-176.644,2,1,250,30,37,3,29.10,,,TRUE,TRUE,TRUE,,,TRUE,,-RA BR,BKN,1100,OVC,1600,,,,,MVFR,,,,,,0.01,,,,,,SPECI,3
PACZ 031937Z AUTO 09031G45KT 1 1/4SM -SN HZ OVC110 M10/M18 A2956 RMK AO2 PK WND 09046/1906 SLP025,PACZ,2024-02-03T19:37:00Z,61.776,-166.043,-10,-18,90,31,45,1.25,29.56,1002.5,,TRUE,TRUE,,,,,,-SN HZ,OVC,11000,,,,,,,IFR,,,,,,,,,,,,SPECI,129
KSUX 031937Z 10014KT 3SM BR OVC003 03/03 A2983 RMK AO2 T00330028,KSUX,2024-02-03T19:37:00Z,42.3917,-96.3795,3.3,2.8,100,14,,3,29.83,,,,TRUE,,,,,,BR,OVC,300,,,,,,,LIFR,,,,,,,,,,,,SPECI,332
KSNY 031937Z AUTO 11011KT 3SM BR BKN002 OVC007 05/04 A2954 RMK AO2 RAE33 P0000 T00500044,KSNY,2024-02-03T19:37:00Z,41.0993,-102.986,5,4.4,110,11,,3,29.54,,,TRUE,TRUE,,,,,,BR,BKN,200,OVC,700,,,,,LIFR,,,,,,0.005,,,,,,SPECI,1307
KSKX 031937Z AUTO 22013KT 10SM -SN OVC030 00/M03 A2957 RMK AO2 UPB01E37SNE1858B37 P0000 FZRANO,KSKX,2024-02-03T19:37:00Z,36.4584,-105.675,0,-3,220,13,,10+,29.57,,,TRUE,TRUE,,,,TRUE,,-SN,OVC,3000,,,,,,,MVFR,,,,,,0.005,,,,,,SPECI,2163
KMNN 031937Z AUTO 03005KT 10SM SCT014 03/M01 A3010 RMK AO2 T00331011,KMNN,2024-02-03T19:37:00Z,40.6158,-83.0673,3.3,-1.1,30,5,,10+,30.10,,,TRUE,TRUE,,,,,,,SCT,1400,,,,,,,VFR,,,,,,,,,,,,SPECI,301
KMHK 031937Z 09010KT 2 1/2SM BR OVC009 11/09 A2966 RMK AO2 CIG 007V012 T01110094,KMHK,2024-02-03T19:37:00Z,39.1346,-96.6789,11.1,9.4,90,10,,2.5,29.66,,,,TRUE,,,,,,BR,OVC,900,,,,,,,IFR,,,,,,,,,,,,SPECI,320
